time,class,sensor_id,approach
2024-07-17 00:00:00.038000+00:00,car,1,NB
2024-07-17 00:00:37.662000+00:00,car,0,SB
2024-07-17 00:01:00.898000+00:00,car,1,EB
2024-07-17 00:01:32.171000+00:00,car,1,NB
2024-07-17 00:01:37.297000+00:00,car,1,NB
2024-07-17 00:01:41.634000+00:00,car,1,NB
2024-07-17 00:01:45.647000+00:00,car,1,NB
2024-07-17 00:01:55.958000+00:00,car,0,SB
2024-07-17 00:02:44.784000+00:00,car,1,EB
2024-07-17 00:03:23.808000+00:00,car,1,NB
2024-07-17 00:03:29.230000+00:00,car,1,NB
2024-07-17 00:03:39.169000+00:00,car,0,SB
2024-07-17 00:03:50.512000+00:00,car,0,SB
2024-07-17 00:04:06.364000+00:00,car,0,SB
2024-07-17 00:04:17.317000+00:00,car,0,SB
2024-07-17 00:04:26.454000+00:00,car,0,EB
2024-07-17 00:05:08.373000+00:00,car,1,NB
2024-07-17 00:05:12.683000+00:00,car,1,NB
2024-07-17 00:05:17.799000+00:00,car,1,NB
2024-07-17 00:05:22.116000+00:00,car,1,NB
2024-07-17 00:05:27.850000+00:00,car,0,SB
2024-07-17 00:05:32.561000+00:00,car,0,SB
2024-07-17 00:05:38.188000+00:00,car,0,SB
2024-07-17 00:05:45.618000+00:00,car,1,NB
2024-07-17 00:05:51.355000+00:00,car,0,SB
2024-07-17 00:06:03.491000+00:00,car,0,SB
2024-07-17 00:06:15.732000+00:00,car,0,SB
2024-07-17 00:06:57.586000+00:00,car,0,SB
2024-07-17 00:07:01.205000+00:00,car,1,NB
2024-07-17 00:07:06.731000+00:00,car,1,NB
2024-07-17 00:07:11.847000+00:00,car,1,NB
2024-07-17 00:07:27.983000+00:00,car,0,SB
2024-07-17 00:07:31.699000+00:00,car,0,SB
2024-07-17 00:07:54.167000+00:00,car,1,NB
2024-07-17 00:08:48.245000+00:00,car,1,NB
2024-07-17 00:08:51.851000+00:00,car,1,NB
2024-07-17 00:08:55.168000+00:00,car,1,NB
2024-07-17 00:08:59.290000+00:00,car,1,NB
2024-07-17 00:09:06.500000+00:00,car,0,SB
2024-07-17 00:09:17.962000+00:00,car,0,SB
2024-07-17 00:09:34.097000+00:00,car,0,SB
2024-07-17 00:09:56.240000+00:00,car,1,NB
2024-07-17 00:10:38.362000+00:00,car,1,NB
2024-07-17 00:10:41.664000+00:00,car,0,SB
2024-07-17 00:10:44.788000+00:00,car,1,NB
2024-07-17 00:10:51.626000+00:00,car,1,NB
2024-07-17 00:11:03.360000+00:00,car,0,SB
2024-07-17 00:11:27.135000+00:00,car,1,NB
2024-07-17 00:11:34.270000+00:00,car,0,SB
